datetime,open,high,low,close,atr,upperband,lowerband,signals,SMA_5,SMA_7,SMA_21,5_21_SMA_Trend
2025-04-16 11:16,23323.65,23327.25,23320.45,23326.15,8.52656324609385,23338.66882374704,23298.27031026172,1,23319.0,23316.878571428573,23298.47857142857,UP
2025-04-16 11:17,23326.6,23327.7,23321.05,23326.8,8.392507137712974,23338.66882374704,23299.197478586862,1,23321.58,23319.350000000002,23299.81666666667,UP
2025-04-16 11:18,23325.8,23328.9,23322.65,23328.9,8.239454081969361,23338.66882374704,23301.056637754093,1,23324.82,23321.528571428567,23301.22857142857,UP
2025-04-16 11:19,23328.45,23335.4,23326.95,23335.05,8.25449461201256,23338.66882374704,23306.411516163964,1,23328.06,23324.55,23303.42619047619,UP
2025-04-16 11:20,23334.35,23335.2,23331.75,23333.6,7.911283881102666,23338.66882374704,23309.74114835669,1,23330.1,23327.535714285714,23305.614285714288,UP
2025-04-16 11:21,23332.95,23334.2,23328.75,23329.8,7.735462408495654,23338.66882374704,23309.74114835669,1,23330.829999999998,23329.100000000002,23308.22857142857,UP
2025-04-16 11:22,23328.95,23331.65,23326.55,23331.25,7.547199701090874,23338.66882374704,23309.74114835669,1,23331.72,23330.221428571433,23310.597619047618,UP
2025-04-16 11:23,23331.4,23334.7,23328.85,23333.45,7.425961946551037,23338.66882374704,23309.74114835669,1,23332.63,23331.264285714282,23313.088095238098,UP
2025-04-16 11:24,23332.85,23334.75,23330.65,23333.8,7.188376486819951,23338.66882374704,23311.13487053954,1,23332.379999999997,23332.264285714286,23315.640476190478,UP
2025-04-16 11:25,23333.8,23336.05,23330.5,23331.05,7.071341933554887,23338.66882374704,23312.060974199336,1,23331.87,23332.571428571428,23317.85714285714,UP
2025-04-16 11:26,23332.0,23333.75,23330.45,23331.0,6.801943991139192,23338.66882374704,23312.060974199336,1,23332.109999999997,23331.992857142854,23320.238095238095,UP
